"","LON","LAT","YEAR","MO","DY","HR","T2M","RH2M","PRECTOTCORR"
"89",2,45,2002,1,4,16,3.92,82.5,0.05
"90",2,45,2002,1,4,17,3.16,85.05,0.06
"91",2,45,2002,1,4,18,2.48,87.79,0.04
"92",2,45,2002,1,4,19,1.92,89.15,0.02
"93",2,45,2002,1,4,20,1.39,90.75,0.01
"94",2,45,2002,1,4,21,0.78,92.65,0.01
"95",2,45,2002,1,4,22,0.03,95.51,0.01
"96",2,45,2002,1,4,23,-0.27,96.57,0.01
"97",2,45,2002,1,5,0,-0.64,98.49,0.01
"98",2,45,2002,1,5,1,-0.81,99.66,0.01
"99",2,45,2002,1,5,2,-0.91,100,0.01
"100",2,45,2002,1,5,3,-1.09,100,0.01
"101",2,45,2002,1,5,4,-1.29,100,0
"102",2,45,2002,1,5,5,-1.47,100,0
"103",2,45,2002,1,5,6,-1.47,100,0
"104",2,45,2002,1,5,7,-1.27,100,0
"105",2,45,2002,1,5,8,1.28,87.68,0
"106",2,45,2002,1,5,9,3.59,79.18,0
"107",2,45,2002,1,5,10,5.73,71.95,0
"108",2,45,2002,1,5,11,7.28,65.4,0
"109",2,45,2002,1,5,12,7.99,62.27,0
"110",2,45,2002,1,5,13,8.16,61.84,0
"111",2,45,2002,1,5,14,7.68,66.74,0
"112",2,45,2002,1,5,15,5.65,71.92,0
"113",2,45,2002,1,5,16,3.4,77.33,0
"114",2,45,2002,1,5,17,1.67,85.89,0
"115",2,45,2002,1,5,18,0.11,94.34,0
"116",2,45,2002,1,5,19,-0.77,99.98,0
"117",2,45,2002,1,5,20,-1.35,100,0
"118",2,45,2002,1,5,21,-1.64,100,0
"119",2,45,2002,1,5,22,-1.82,100,0
"120",2,45,2002,1,5,23,-1.94,100,0
"121",2,45,2002,1,6,0,-2.04,100,0
"122",2,45,2002,1,6,1,-2.06,100,0
"123",2,45,2002,1,6,2,-1.92,100,0
"124",2,45,2002,1,6,3,-1.7,100,0
"125",2,45,2002,1,6,4,-1.68,100,0
"126",2,45,2002,1,6,5,-1.87,99.18,0
"127",2,45,2002,1,6,6,-2.03,96.24,0
"128",2,45,2002,1,6,7,-2,90.83,0
"129",2,45,2002,1,6,8,0.39,77.07,0
"130",2,45,2002,1,6,9,2.81,65.02,0
"131",2,45,2002,1,6,10,4.65,61.92,0
"132",2,45,2002,1,6,11,6.27,58.43,0
"133",2,45,2002,1,6,12,6.96,57.09,0
"134",2,45,2002,1,6,13,7.06,58.08,0
"135",2,45,2002,1,6,14,6.45,63.81,0
"136",2,45,2002,1,6,15,4.9,62.7,0
"137",2,45,2002,1,6,16,3.05,67.9,0
"138",2,45,2002,1,6,17,1.39,73.18,0
"139",2,45,2002,1,6,18,0.44,75.62,0
"140",2,45,2002,1,6,19,-0.24,77.51,0
"141",2,45,2002,1,6,20,-0.67,78.67,0
"142",2,45,2002,1,6,21,-0.87,78.04,0
"143",2,45,2002,1,6,22,-0.68,75.44,0
"144",2,45,2002,1,6,23,0.12,69.9,0
"145",2,45,2002,1,7,0,0.74,67.06,0
"146",2,45,2002,1,7,1,1.39,64.68,0
"147",2,45,2002,1,7,2,1.74,62.6,0
"148",2,45,2002,1,7,3,1.45,62.01,0
"149",2,45,2002,1,7,4,0.77,62.41,0
"150",2,45,2002,1,7,5,0.01,62.57,0
"151",2,45,2002,1,7,6,-0.62,62.92,0
"152",2,45,2002,1,7,7,-1.39,64.44,0
"153",2,45,2002,1,7,8,-0.57,66.1,0
"154",2,45,2002,1,7,9,0.79,59.31,0
"155",2,45,2002,1,7,10,2.57,57.92,0
"156",2,45,2002,1,7,11,4.64,49.44,0
"157",2,45,2002,1,7,12,5.64,45.39,0
"158",2,45,2002,1,7,13,5.62,48.35,0
"159",2,45,2002,1,7,14,4.6,61.45,0
"160",2,45,2002,1,7,15,1.84,64.64,0
"161",2,45,2002,1,7,16,-0.99,72.07,0
"162",2,45,2002,1,7,17,-1.74,78.19,0
"163",2,45,2002,1,7,18,-1.97,80.32,0
"164",2,45,2002,1,7,19,-2.39,82.59,0
"165",2,45,2002,1,7,20,-2.54,82.72,0
"166",2,45,2002,1,7,21,-2.62,82.66,0
"167",2,45,2002,1,7,22,-2.55,81.86,0
"168",2,45,2002,1,7,23,-2.31,80.53,0
"169",2,45,2002,1,8,0,-0.65,75.27,0.06
"170",2,45,2002,1,8,1,0.28,76.18,0.05
"171",2,45,2002,1,8,2,0.74,76.86,0.02
"172",2,45,2002,1,8,3,1.19,76.05,0
"173",2,45,2002,1,8,4,0.72,80.12,0.01
"174",2,45,2002,1,8,5,0.19,87.81,0.01
"175",2,45,2002,1,8,6,0.46,94.04,0.01
"176",2,45,2002,1,8,7,1.03,99.77,0.01
"177",2,45,2002,1,8,8,2.74,97.39,0.02
"178",2,45,2002,1,8,9,4.42,93.5,0.01
"179",2,45,2002,1,8,10,6.14,87.31,0.01
"180",2,45,2002,1,8,11,7.71,78.24,0.01
"181",2,45,2002,1,8,12,8.42,72.71,0.02
"182",2,45,2002,1,8,13,8.4,72.1,0.02
"183",2,45,2002,1,8,14,7.31,77.69,0.01
"184",2,45,2002,1,8,15,4.32,91.85,0.01
"185",2,45,2002,1,8,16,1.43,100,0.01
"186",2,45,2002,1,8,17,1.36,100,0.01
"187",2,45,2002,1,8,18,0.9,100,0
"188",2,45,2002,1,8,19,0.64,100,0
"189",2,45,2002,1,8,20,0.54,100,0
"190",2,45,2002,1,8,21,0.46,100,0
"191",2,45,2002,1,8,22,0.38,100,0
"192",2,45,2002,1,8,23,0.3,100,0
"193",2,45,2002,1,9,0,0.38,100,0
"194",2,45,2002,1,9,1,0.71,100,0
"195",2,45,2002,1,9,2,0.79,100,0
"196",2,45,2002,1,9,3,0.82,100,0
"197",2,45,2002,1,9,4,1.13,100,0
"198",2,45,2002,1,9,5,1.14,100,0.01
"199",2,45,2002,1,9,6,1.11,99.1,0.02
"200",2,45,2002,1,9,7,1.14,98.69,0.02
"201",2,45,2002,1,9,8,2.02,96.73,0.01
"202",2,45,2002,1,9,9,3.77,93.37,0.01
"203",2,45,2002,1,9,10,5.52,88.04,0
"204",2,45,2002,1,9,11,7.15,79.42,0
"205",2,45,2002,1,9,12,8.21,71.97,0
"206",2,45,2002,1,9,13,8.54,68.52,0
"207",2,45,2002,1,9,14,7.89,70.14,0
"208",2,45,2002,1,9,15,4.63,84.51,0
"209",2,45,2002,1,9,16,1.6,96.25,0
"210",2,45,2002,1,9,17,1.09,97.25,0
"211",2,45,2002,1,9,18,0.97,95.24,0
"212",2,45,2002,1,9,19,0.67,94.14,0
"213",2,45,2002,1,9,20,0.35,93.83,0
"214",2,45,2002,1,9,21,-0.05,94.59,0
"215",2,45,2002,1,9,22,-0.37,96.32,0
"216",2,45,2002,1,9,23,-0.57,99.79,0
"217",2,45,2002,1,10,0,-0.67,100,0
"218",2,45,2002,1,10,1,-0.59,100,0
"219",2,45,2002,1,10,2,-0.52,100,0
"220",2,45,2002,1,10,3,-0.42,100,0
"221",2,45,2002,1,10,4,-0.3,100,0
"222",2,45,2002,1,10,5,-0.32,100,0
"223",2,45,2002,1,10,6,-0.5,100,0
"224",2,45,2002,1,10,7,-0.39,100,0
"225",2,45,2002,1,10,8,0.83,93.74,0
"226",2,45,2002,1,10,9,2.43,87.51,0
"227",2,45,2002,1,10,10,4.53,81.43,0
"228",2,45,2002,1,10,11,6.42,76.59,0
"229",2,45,2002,1,10,12,7.41,72.87,0
"230",2,45,2002,1,10,13,7.58,72.45,0
"231",2,45,2002,1,10,14,6.81,75.89,0
"232",2,45,2002,1,10,15,4.32,87.36,0
"233",2,45,2002,1,10,16,1.95,97.3,0
"234",2,45,2002,1,10,17,0.78,100,0
"235",2,45,2002,1,10,18,0.06,100,0
"236",2,45,2002,1,10,19,-0.05,100,0
"237",2,45,2002,1,10,20,-0.02,100,0
"238",2,45,2002,1,10,21,0.15,100,0
"239",2,45,2002,1,10,22,0.34,100,0
"240",2,45,2002,1,10,23,0.35,100,0
"241",2,45,2002,1,11,0,0.26,100,0
"242",2,45,2002,1,11,1,0.06,100,0
"243",2,45,2002,1,11,2,-0.41,100,0
"244",2,45,2002,1,11,3,-0.95,100,0
"245",2,45,2002,1,11,4,-1.25,100,0
"246",2,45,2002,1,11,5,-0.58,100,0.01
"247",2,45,2002,1,11,6,0.6,100,0.03
"248",2,45,2002,1,11,7,0.75,99.08,0.08
"249",2,45,2002,1,11,8,0.77,96.31,0.06
"250",2,45,2002,1,11,9,1.6,94.21,0.02
"251",2,45,2002,1,11,10,3.5,89.14,0.01
"252",2,45,2002,1,11,11,5.44,80.56,0
"253",2,45,2002,1,11,12,7.53,66.82,0
"254",2,45,2002,1,11,13,8.82,59.52,0
"255",2,45,2002,1,11,14,8.73,61.26,0
"256",2,45,2002,1,11,15,7.44,64.89,0
"257",2,45,2002,1,11,16,6.12,66.23,0
"258",2,45,2002,1,11,17,5.68,67.26,0
"259",2,45,2002,1,11,18,5.37,67.69,0
"260",2,45,2002,1,11,19,4.6,70.31,0
"261",2,45,2002,1,11,20,3.4,75.08,0
"262",2,45,2002,1,11,21,3.29,74.24,0
"263",2,45,2002,1,11,22,3.25,73.23,0
"264",2,45,2002,1,11,23,3.14,72.78,0
"265",2,45,2002,1,12,0,3.16,71.85,0
"266",2,45,2002,1,12,1,3.03,72.32,0
"267",2,45,2002,1,12,2,2.71,73.98,0
"268",2,45,2002,1,12,3,2.36,76.48,0
"269",2,45,2002,1,12,4,1.77,80.2,0
"270",2,45,2002,1,12,5,0.9,86.57,0
"271",2,45,2002,1,12,6,0.41,92.43,0
"272",2,45,2002,1,12,7,0.47,96.98,0
"273",2,45,2002,1,12,8,3.4,87.52,0
"274",2,45,2002,1,12,9,6.11,78.42,0
"275",2,45,2002,1,12,10,8,72.69,0
"276",2,45,2002,1,12,11,9.55,66.58,0
"277",2,45,2002,1,12,12,10.34,63.22,0
"278",2,45,2002,1,12,13,10.58,62.31,0
"279",2,45,2002,1,12,14,10.04,66.11,0
"280",2,45,2002,1,12,15,6.89,80.26,0
"281",2,45,2002,1,12,16,3.33,92.13,0
"282",2,45,2002,1,12,17,2.45,95.93,0
"283",2,45,2002,1,12,18,2.02,97.16,0
"284",2,45,2002,1,12,19,1.7,96.9,0
"285",2,45,2002,1,12,20,1.39,96.75,0
"286",2,45,2002,1,12,21,1.1,97.13,0
"287",2,45,2002,1,12,22,1.62,94.26,0
"288",2,45,2002,1,12,23,2.32,91.38,0
"289",2,45,2002,1,13,0,2.42,91.15,0
"290",2,45,2002,1,13,1,2.4,90.86,0
"291",2,45,2002,1,13,2,2.43,90.01,0.01
"292",2,45,2002,1,13,3,2.24,90.34,0.02
"293",2,45,2002,1,13,4,1.78,92.43,0.01
"294",2,45,2002,1,13,5,1.24,95.84,0.01
"295",2,45,2002,1,13,6,0.76,98.98,0
"296",2,45,2002,1,13,7,0.56,100,0.01
"297",2,45,2002,1,13,8,2.42,92.01,0.04
"298",2,45,2002,1,13,9,4.15,85.25,0.18
"299",2,45,2002,1,13,10,5.93,78.83,0.54
"300",2,45,2002,1,13,11,7.6,72.48,0.47
"301",2,45,2002,1,13,12,8.75,67.94,0.22
"302",2,45,2002,1,13,13,9.65,64.81,0.07
"303",2,45,2002,1,13,14,9.71,66.73,0.07
"304",2,45,2002,1,13,15,7.91,71.84,0.02
"305",2,45,2002,1,13,16,5.64,79.87,0.04
"306",2,45,2002,1,13,17,4.1,87.99,0.06
"307",2,45,2002,1,13,18,3.06,93.47,0.01
"308",2,45,2002,1,13,19,2.41,97.03,0.04
"309",2,45,2002,1,13,20,2.05,98.66,0.06
"310",2,45,2002,1,13,21,2.21,97.76,0.11
"311",2,45,2002,1,13,22,2.4,97.95,0.15
"312",2,45,2002,1,13,23,2.72,98.88,0.13
"313",2,45,2002,1,14,0,2.92,100,0.16
"314",2,45,2002,1,14,1,3.09,100,0.24
"315",2,45,2002,1,14,2,3.06,100,0.18
"316",2,45,2002,1,14,3,2.86,100,0.14
"317",2,45,2002,1,14,4,2.85,100,0.14
"318",2,45,2002,1,14,5,2.82,100,0.09
"319",2,45,2002,1,14,6,2.9,100,0.13
"320",2,45,2002,1,14,7,3.09,100,0.18
"321",2,45,2002,1,14,8,4.19,99.43,0.17
"322",2,45,2002,1,14,9,5.51,94.51,0.19
"323",2,45,2002,1,14,10,6.38,92.59,0.28
"324",2,45,2002,1,14,11,7.88,87.62,0.34
"325",2,45,2002,1,14,12,8.6,82.83,0.28
"326",2,45,2002,1,14,13,8.62,82.85,0.32
"327",2,45,2002,1,14,14,8.18,87.38,0.25
"328",2,45,2002,1,14,15,6.97,95.39,0.27
"329",2,45,2002,1,14,16,5.59,100,0.3
"330",2,45,2002,1,14,17,5.09,100,0.38
"331",2,45,2002,1,14,18,4.58,100,0.81
"332",2,45,2002,1,14,19,4.17,100,0.66
"333",2,45,2002,1,14,20,4.16,100,0.6
"334",2,45,2002,1,14,21,4.35,100,0.65
"335",2,45,2002,1,14,22,4.46,100,0.71
"336",2,45,2002,1,14,23,4.41,100,0.92
"337",2,45,2002,1,15,0,4.14,100,1.07
"338",2,45,2002,1,15,1,4.11,100,1.44
"339",2,45,2002,1,15,2,3.92,100,1.4
"340",2,45,2002,1,15,3,3.59,100,1.33
"341",2,45,2002,1,15,4,3.6,100,1.44
"342",2,45,2002,1,15,5,3.53,100,1.43
"343",2,45,2002,1,15,6,3.43,100,1.07
"344",2,45,2002,1,15,7,3.28,99.87,0.91
"345",2,45,2002,1,15,8,3.59,99.24,0.86
"346",2,45,2002,1,15,9,4.08,98.68,1.46
"347",2,45,2002,1,15,10,4.35,98.44,4.35
"348",2,45,2002,1,15,11,4.66,98.02,10.68
"349",2,45,2002,1,15,12,4.97,97.58,18.86
"350",2,45,2002,1,15,13,5.16,97.47,25.48
"351",2,45,2002,1,15,14,5.06,98.13,21.25
"352",2,45,2002,1,15,15,4.78,98.47,13.9
"353",2,45,2002,1,15,16,4.7,98.34,7.96
"354",2,45,2002,1,15,17,4.63,98.35,3.06
"355",2,45,2002,1,15,18,4.44,98.44,1.33
"356",2,45,2002,1,15,19,4.2,98.27,1.11
"357",2,45,2002,1,15,20,3.79,98.64,1.05
"358",2,45,2002,1,15,21,3.36,99.11,1
"359",2,45,2002,1,15,22,3.08,98.67,1.29
"360",2,45,2002,1,15,23,2.66,98.52,2.49
"361",2,45,2002,1,16,0,2.41,98.33,5.41
"362",2,45,2002,1,16,1,2.26,98.09,7.33
"363",2,45,2002,1,16,2,1.67,98.71,7.66
"364",2,45,2002,1,16,3,1.34,98.76,5.36
"365",2,45,2002,1,16,4,1.1,98.86,2.87
"366",2,45,2002,1,16,5,1.31,98.13,1.3
"367",2,45,2002,1,16,6,1.39,97.17,0.72
"368",2,45,2002,1,16,7,1.02,96.79,0.63
"369",2,45,2002,1,16,8,1.14,95.09,0.51
"370",2,45,2002,1,16,9,1.92,90.89,0.46
"371",2,45,2002,1,16,10,3.21,84.18,0.52
"372",2,45,2002,1,16,11,4.4,77.03,0.59
"373",2,45,2002,1,16,12,5.22,71.31,0.73
"374",2,45,2002,1,16,13,5.49,68.76,0.7
"375",2,45,2002,1,16,14,5.24,69.82,0.5
"376",2,45,2002,1,16,15,3.82,79.08,0.24
"377",2,45,2002,1,16,16,0.94,92.61,0.07
"378",2,45,2002,1,16,17,0.25,96.91,0.06
"379",2,45,2002,1,16,18,-0.87,100,0
"380",2,45,2002,1,16,19,-1.99,100,0
"381",2,45,2002,1,16,20,-2.18,100,0
"382",2,45,2002,1,16,21,-1.94,100,0.01
"383",2,45,2002,1,16,22,-2.06,100,0
"384",2,45,2002,1,16,23,-2.71,100,0
"385",2,45,2002,1,17,0,-3.12,100,0
"386",2,45,2002,1,17,1,-3.19,100,0
"387",2,45,2002,1,17,2,-3.19,100,0
"388",2,45,2002,1,17,3,-3.2,100,0
"389",2,45,2002,1,17,4,-2.99,98.26,0
"390",2,45,2002,1,17,5,-2.8,96.04,0
"391",2,45,2002,1,17,6,-2.62,93.65,0
"392",2,45,2002,1,17,7,-2.21,90.47,0
"393",2,45,2002,1,17,8,-0.02,82.62,0
"394",2,45,2002,1,17,9,2.02,70.87,0
"395",2,45,2002,1,17,10,3.88,60.75,0
"396",2,45,2002,1,17,11,5.13,53.48,0
"397",2,45,2002,1,17,12,6.12,46.58,0
"398",2,45,2002,1,17,13,6.51,44.03,0
"399",2,45,2002,1,17,14,6.02,49.69,0
"400",2,45,2002,1,17,15,4.29,52.66,0
"401",2,45,2002,1,17,16,2.09,52.75,0
"402",2,45,2002,1,17,17,0.78,57.23,0
"403",2,45,2002,1,17,18,-0.22,62.72,0
"404",2,45,2002,1,17,19,-1.17,69.82,0
"405",2,45,2002,1,17,20,-1.79,76.19,0
"406",2,45,2002,1,17,21,-1.84,81,0
"407",2,45,2002,1,17,22,-1.53,82.73,0
"408",2,45,2002,1,17,23,-1.52,84.4,0
"409",2,45,2002,1,18,0,-1.9,85.91,0.04
"410",2,45,2002,1,18,1,-2.42,88.19,0.04
"411",2,45,2002,1,18,2,-2.49,87.15,0.04
"412",2,45,2002,1,18,3,-2.57,85.2,0
"413",2,45,2002,1,18,4,-2.66,82.01,0
"414",2,45,2002,1,18,5,-2.62,77.29,0
"415",2,45,2002,1,18,6,-2.52,73.83,0
"416",2,45,2002,1,18,7,-2.13,71.78,0
"417",2,45,2002,1,18,8,0.5,62.96,0
"418",2,45,2002,1,18,9,2.47,58.1,0
"419",2,45,2002,1,18,10,5.15,61.58,0
"420",2,45,2002,1,18,11,7.11,63.8,0
"421",2,45,2002,1,18,12,7.98,64.01,0
"422",2,45,2002,1,18,13,8.26,65.78,0
"423",2,45,2002,1,18,14,7.62,70.49,0.01
"424",2,45,2002,1,18,15,4.78,84.33,0.01
"425",2,45,2002,1,18,16,2.12,92.59,0.01
"426",2,45,2002,1,18,17,1.18,98.61,0
"427",2,45,2002,1,18,18,0.92,100,0
"428",2,45,2002,1,18,19,0.77,100,0
"429",2,45,2002,1,18,20,0.54,100,0
"430",2,45,2002,1,18,21,0.42,100,0
"431",2,45,2002,1,18,22,0.28,100,0.12
"432",2,45,2002,1,18,23,0.11,100,0.14
"433",2,45,2002,1,19,0,0.1,100,0.08
"434",2,45,2002,1,19,1,0.04,100,0.06
"435",2,45,2002,1,19,2,-0.1,100,0.05
"436",2,45,2002,1,19,3,-0.14,100,0.11
"437",2,45,2002,1,19,4,-0.03,100,0.2
"438",2,45,2002,1,19,5,-0.01,100,0.46
"439",2,45,2002,1,19,6,-0.07,100,1.02
"440",2,45,2002,1,19,7,0.22,100,1.43
"441",2,45,2002,1,19,8,0.84,97.6,0.98
"442",2,45,2002,1,19,9,1.43,95.2,0.49
"443",2,45,2002,1,19,10,1.85,92.87,0.27
"444",2,45,2002,1,19,11,1.99,92.15,0.24
"445",2,45,2002,1,19,12,1.99,92.13,0.35
"446",2,45,2002,1,19,13,1.97,92.26,0.61
"447",2,45,2002,1,19,14,1.88,93.09,0.69
"448",2,45,2002,1,19,15,1.9,93,0.68
"449",2,45,2002,1,19,16,1.7,95.75,0.67
"450",2,45,2002,1,19,17,1.59,97.03,0.68
"451",2,45,2002,1,19,18,1.67,97.9,0.1
"452",2,45,2002,1,19,19,1.86,97.73,0.09
"453",2,45,2002,1,19,20,2.09,97.96,0.08
"454",2,45,2002,1,19,21,2.47,97.54,0.07
"455",2,45,2002,1,19,22,2.47,98.21,0.05
"456",2,45,2002,1,19,23,2.22,99.54,0.05
"457",2,45,2002,1,20,0,1.96,100,0.05
"458",2,45,2002,1,20,1,1.72,100,0.05
"459",2,45,2002,1,20,2,1.6,100,0.06
"460",2,45,2002,1,20,3,1.56,100,0.05
"461",2,45,2002,1,20,4,1.6,100,0.06
"462",2,45,2002,1,20,5,1.6,100,0.08
"463",2,45,2002,1,20,6,1.61,100,0.08
"464",2,45,2002,1,20,7,1.74,99.59,0.05
"465",2,45,2002,1,20,8,2.55,97.19,0.04
"466",2,45,2002,1,20,9,3.44,94.46,0.03
"467",2,45,2002,1,20,10,4.58,90.14,0.01
"468",2,45,2002,1,20,11,5.62,84.29,0
"469",2,45,2002,1,20,12,6.63,77.75,0
"470",2,45,2002,1,20,13,7.16,74.32,0
"471",2,45,2002,1,20,14,7.05,74.71,0
"472",2,45,2002,1,20,15,5.9,80.37,0
"473",2,45,2002,1,20,16,3.65,87.16,0
"474",2,45,2002,1,20,17,2.01,95.49,0
"475",2,45,2002,1,20,18,1.25,99.21,0
"476",2,45,2002,1,20,19,1.01,100,0
"477",2,45,2002,1,20,20,0.74,100,0
"478",2,45,2002,1,20,21,0.26,100,0
"479",2,45,2002,1,20,22,-0.15,100,0
"480",2,45,2002,1,20,23,-0.36,100,0
"481",2,45,2002,1,21,0,-0.5,100,0
"482",2,45,2002,1,21,1,-0.56,100,0
"483",2,45,2002,1,21,2,-0.48,100,0
"484",2,45,2002,1,21,3,-0.46,100,0
"485",2,45,2002,1,21,4,-0.74,100,0
"486",2,45,2002,1,21,5,-1.03,100,0
"487",2,45,2002,1,21,6,-1.05,100,0
"488",2,45,2002,1,21,7,-0.44,89.36,0
"489",2,45,2002,1,21,8,3.1,70.99,0
"490",2,45,2002,1,21,9,6.45,55.99,0
"491",2,45,2002,1,21,10,8.51,49.59,0
"492",2,45,2002,1,21,11,10.36,46.33,0
"493",2,45,2002,1,21,12,11.46,44.61,0
"494",2,45,2002,1,21,13,11.65,46.14,0
"495",2,45,2002,1,21,14,10.62,50.81,0
"496",2,45,2002,1,21,15,7.54,61.01,0
"497",2,45,2002,1,21,16,3.99,70.58,0
"498",2,45,2002,1,21,17,2.63,73.92,0
"499",2,45,2002,1,21,18,1.67,74.91,0
"500",2,45,2002,1,21,19,1.35,74.82,0
"501",2,45,2002,1,21,20,1.12,80.27,0.01
"502",2,45,2002,1,21,21,1.14,89.45,0.2
"503",2,45,2002,1,21,22,1.37,96.89,0.22
"504",2,45,2002,1,21,23,1.3,100,0.22
"505",2,45,2002,1,22,0,1.26,100,0.44
"506",2,45,2002,1,22,1,2.15,97.32,2.81
"507",2,45,2002,1,22,2,2.41,97.24,9.67
"508",2,45,2002,1,22,3,2.36,99.06,16.62
"509",2,45,2002,1,22,4,2.42,99.74,14.43
"510",2,45,2002,1,22,5,2.49,100,8.24
"511",2,45,2002,1,22,6,2.68,100,3.77
"512",2,45,2002,1,22,7,2.9,100,1.87
"513",2,45,2002,1,22,8,3.55,99.79,1.39
"514",2,45,2002,1,22,9,4,98.65,1.18
"515",2,45,2002,1,22,10,4.56,97.8,1.15
"516",2,45,2002,1,22,11,5.17,96.53,1.2
"517",2,45,2002,1,22,12,5.85,93.39,1.21
"518",2,45,2002,1,22,13,6.42,89.78,1.08
"519",2,45,2002,1,22,14,6.48,89.25,0.93
"520",2,45,2002,1,22,15,5.63,94.32,0.87
