Site,Variety,Date,Year,Doy,GrowingSeason,DaysAfterSowing,Tmax,Tmin,RHmax,RHmin,LW,Prec,Rad,GrowingDegreeDays,PhenoCode,CyclePercentage,LightInterception,LightInterceptionRef,AGBattainable,AGBRef,YieldAttainable,YieldRef,HTtimeR,HTtimeS,Susceptible,Latent,Sporulating,Dead,Affected,DiseaseSeverity,DiseaseSeverityRef,LightIntHealthy,AGBactual,YieldActual,YieldActualRef,LightStealers,SenAccelerator,RUEReducers,AssimilateSappers
39.2489257812503_12.7061385542056,Generic,8/30/2007,2007,242,2007,61,19.98,14.470001,100,76.20401,13,8.03,24.096,1069.6027,1,34.21578,0.914843,,4793.6123,,0,,0,36.78151,0.20419681,0.5426854,0.25311783,0,0.7958032,0.25311783,,0.65953994,4202.207,0,,0.27906764,0,0.20722038,5.1805096
39.2489257812503_12.7061385542056,Generic,8/31/2007,2007,243,2007,62,22.57,14.27,100,59.873646,7,4.77,27.2855,1087.4974,1,34.78822,0.9273326,,5111.4,,0,,0.5746377,37.356148,0.13483095,0.5553512,0.30981782,0,0.86516905,0.30981782,,0.614658,4412.844,0,,0.33717632,0,0.2531178,6.3279457
39.2489257812503_12.7061385542056,Generic,9/1/2007,2007,244,2007,63,21.96,15.52,100,70.680534,11,3.85,25.212051,1105.7444,1,35.371925,0.9383107,,5414.3613,,0,,0.511888,37.868034,0.02149576,0.6104785,0.36802572,0,0.97850424,0.36802572,,0.5564531,4592.5117,0,,0.40696287,0,0.3098178,7.7454457
39.2489257812503_12.7061385542056,Generic,9/2/2007,2007,245,2007,64,21.93,15.200001,100,68.869316,9,6.6400003,25.5358,1123.8005,1,35.949524,0.94763273,,5721.021,,0,,0.6174861,38.48552,0,0.65392363,0.44425496,0,1,0.44425496,,0.49636734,4753.139,0,,0.47620285,0,0.36802572,9.200643
39.2489257812503_12.7061385542056,Generic,9/3/2007,2007,246,2007,65,20.88,14.870001,100,73.20198,11,6.66,24.666395,1141.0645,1,36.501785,0.9552883,,6006.531,,0,,0,38.97071,0,0.65392363,0.44425496,0,1,0.44425496,,0.41747987,4877.9126,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/4/2007,2007,247,2007,66,23.1,14.54,99.929085,58.522243,7,1.34,27.484837,1159.3972,1,37.088238,0.96224517,,6346.8203,,0,,0.5415408,39.512253,0,0.65392363,0.44425496,0,1,0.44425496,,0.4205202,5026.626,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/5/2007,2007,248,2007,67,21.62,14.29,100,65.19766,9,5.22,26.161945,1176.756,1,37.64353,0.96786547,,6655.3154,,0,,0.53251463,40.04477,0,0.65392363,0.44425496,0,1,0.44425496,,0.42297632,5161.4443,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/6/2007,2007,249,2007,68,22,14.5,100,64.2793,9,6.09,26.329292,1194.458,1,38.209805,0.9727605,,6973.5244,,0,,0.8042091,40.84898,0,0.65392363,0.44425496,0,1,0.44425496,,0.4251156,5300.508,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/7/2007,2007,250,2007,69,22.98,13.259999,96.980225,52.647007,24,14.620001,28.56705,1212.0101,1,38.771282,0.9768951,,7317.3096,,0,,0.5277213,41.3767,0,0.65392363,0.44425496,0,1,0.44425496,,0.42692244,5450.7485,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/8/2007,2007,251,2007,70,21.52,14.82,100,68.97733,9,4.24,25.395647,1229.6202,1,39.334618,0.98042554,,7625.0454,,0,,0,41.893085,0,0.65392363,0.44425496,0,1,0.44425496,,0.42846537,5585.2354,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/9/2007,2007,252,2007,71,22.170002,13.2300005,99.15103,56.428432,7,2.54,27.760603,1246.6737,1,39.880146,0.9833382,,7951.7744,,0,,0,42.376102,0,0.65392363,0.44425496,0,1,0.44425496,,0.42973822,5728.0225,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/10/2007,2007,253,2007,72,22.9,14.67,100,60.28243,7,2.3,27.01746,1264.969,1,40.4654,0.9859896,,8293.832,,0,,0.4682028,42.844307,0,0.65392363,0.44425496,0,1,0.44425496,,0.43089694,5877.5083,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/11/2007,2007,254,2007,73,23.329998,15.979999,100,65.23952,9,2.03,26.05912,1284.1399,1,41.07866,0.98832184,,8640.365,,0,,0.49389625,43.338203,0,0.65392363,0.44425496,0,1,0.44425496,,0.43191618,6028.95,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/12/2007,2007,255,2007,74,22.57,15.53,100,67.05725,9,4.98,25.693684,1302.7141,1,41.672836,0.99021417,,8972.037,,0,,0.73730725,44.075512,0,0.65392363,0.44425496,0,1,0.44425496,,0.4327432,6173.8975,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/13/2007,2007,256,2007,75,19.83,14.300001,100,75.996956,13,1.83,23.887972,1318.9751,1,42.193012,0.99161947,,9242.38,,0,,0,44.554493,0,0.65392363,0.44425496,0,1,0.44425496,,0.4333573,6292.0425,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/14/2007,2007,257,2007,76,22.829998,14.839999,100,61.596607,7,0.42000002,26.66727,1337.3239,1,42.779976,0.9929662,,9583.386,,0,,0,45.016422,0,0.65392363,0.44425496,0,1,0.44425496,,0.43394583,6441.069,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/15/2007,2007,258,2007,77,23.39,15.28,100,60.950016,7,0.56,26.764612,1356.1863,1,43.38337,0.99412656,,9935.63,,0,,0.6805104,45.696934,0,0.65392363,0.44425496,0,1,0.44425496,,0.43445295,6595.007,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/16/2007,2007,259,2007,78,20.86,15.19,100,75.45301,13,0.91,23.99406,1373.6276,1,43.941303,0.9950294,,10227.884,,0,,0,46.19583,0,0.65392363,0.44425496,0,1,0.44425496,,0.43484753,6722.7275,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/17/2007,2007,260,2007,79,22.91,13.990001,99.057816,56.630207,7,0.19,27.521889,1391.5559,1,44.514816,0.99581355,,10572.742,,0,,0,46.648888,0,0.65392363,0.44425496,0,1,0.44425496,,0.4351902,6873.4375,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/18/2007,2007,261,2007,80,23.78,15.47,100,59.852337,7,0.09,26.881943,1410.6986,1,45.12718,0.9965153,,10932.65,,0,,0.47445056,47.123337,0,0.65392363,0.44425496,0,1,0.44425496,,0.43549687,7030.7246,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/19/2007,2007,262,2007,81,23.31,15.83,100,64.48815,9,0.74,25.987236,1429.7892,1,45.737873,0.9970983,,11279.836,,0,,0.51398224,47.637318,0,0.65392363,0.44425496,0,1,0.44425496,,0.43575168,7182.451,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/20/2007,2007,263,2007,82,22.62,14.92,100,63.20967,9,0.95,26.189968,1448.0684,1,46.32261,0.99756515,,11615.015,,0,,0,48.12792,0,0.65392363,0.44425496,0,1,0.44425496,,0.4359557,7328.931,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/21/2007,2007,264,2007,83,23.18,14.290001,99.051056,56.802402,7,1.39,27.362291,1466.3099,1,46.906143,0.9979563,,11964.612,,0,,0.46632123,48.59424,0,0.65392363,0.44425496,0,1,0.44425496,,0.4361266,7481.7124,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/22/2007,2007,265,2007,84,23.59,15.950001,100,63.56199,9,1.79,26.063343,1485.5876,1,47.522823,0.9983016,,12316.652,,0,,0,49.050777,0,0.65392363,0.44425496,0,1,0.44425496,,0.43627757,7635.5605,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/23/2007,2007,266,2007,85,23.46,15.43,100,61.38801,7,0.75,26.434553,1504.558,1,48.12967,0.9985846,,12668.112,,0,,0,49.504276,0,0.65392363,0.44425496,0,1,0.44425496,,0.43640125,7789.1553,0,,0.56298023,0,0.444255,11.106374
39.2489257812503_12.7061385542056,Generic,9/24/2007,2007,267,2007,86,23.38,15.54,100,62.44406,7,0.01,26.204926,1523.5428,1,48.73698,0.9988206,,13016.869,,0,,0,49.950092,0,0.65392363,0.44425496,0,1,0.44425496,,0.43650436,7941.569,0,,0.56298023,0,0.444255,11.106374
